iter	Passed	Remaining
306	1134	2561
307	1137	2556
308	1140	2550
309	1143	2545
310	1146	2539
311	1149	2534
312	1152	2529
313	1155	2524
314	1158	2518
315	1161	2513
316	1164	2508
317	1167	2502
318	1170	2497
319	1174	2494
320	1176	2489
321	1179	2483
322	1182	2478
323	1185	2473
324	1188	2467
325	1191	2462
326	1193	2457
327	1197	2452
328	1199	2447
329	1202	2442
330	1205	2436
331	1208	2431
332	1211	2426
333	1214	2421
334	1217	2415
335	1219	2410
336	1222	2405
337	1225	2400
338	1228	2395
339	1231	2390
340	1233	2384
341	1236	2379
342	1239	2374
343	1242	2369
344	1245	2364
345	1248	2359
346	1251	2354
347	1253	2349
348	1256	2344
349	1259	2338
350	1262	2333
351	1265	2328
352	1267	2323
353	1271	2321
354	1276	2319
355	1280	2316
356	1283	2311
357	1286	2307
358	1289	2303
359	1293	2298
360	1297	2296
361	1300	2292
362	1303	2287
363	1306	2282
364	1308	2277
365	1311	2272
366	1314	2267
367	1317	2262
368	1320	2258
369	1323	2253
370	1326	2248
371	1329	2243
372	1332	2239
373	1334	2234
374	1337	2229
375	1340	2224
376	1343	2219
377	1346	2214
378	1348	2210
379	1351	2205
380	1354	2200
381	1357	2196
382	1360	2191
383	1363	2187
384	1366	2182
385	1369	2178
386	1371	2172
387	1374	2168
388	1377	2163
389	1380	2159
390	1383	2154
391	1386	2149
392	1388	2145
393	1391	2140
394	1394	2135
395	1397	2131
396	1399	2126
397	1402	2121
398	1405	2117
399	1408	2112
400	1411	2107
401	1413	2103
402	1416	2098
403	1419	2093
404	1422	2089
405	1425	2085
406	1427	2080
407	1430	2075
408	1433	2070
409	1435	2066
410	1438	2061
411	1441	2057
412	1444	2052
413	1447	2048
414	1449	2043
415	1452	2039
416	1455	2034
417	1457	2029
418	1460	2025
419	1463	2021
420	1466	2016
421	1469	2012
422	1472	2007
423	1474	2003
424	1477	1999
425	1480	1994
426	1483	1990
427	1485	1985
428	1488	1981
429	1491	1977
430	1494	1973
431	1498	1969
432	1501	1965
433	1504	1961
434	1507	1957
435	1510	1953
436	1513	1949
437	1516	1945
438	1518	1940
439	1521	1936
440	1524	1932
441	1527	1928
442	1530	1924
443	1533	1919
444	1535	1915
445	1538	1911
446	1541	1906
447	1544	1902
448	1547	1898
449	1550	1894
450	1552	1890
451	1555	1886
452	1558	1881
453	1561	1877
454	1563	1873
455	1566	1869
456	1569	1865
457	1572	1860
458	1574	1856
459	1577	1852
460	1580	1848
461	1583	1844
462	1586	1840
463	1589	1835
464	1592	1831
465	1594	1827
466	1597	1823
467	1600	1819
468	1603	1815
469	1606	1811
470	1609	1807
471	1611	1803
472	1614	1799
473	1617	1795
474	1620	1791
475	1623	1787
476	1626	1783
477	1629	1779
478	1632	1775
479	1634	1771
480	1637	1767
481	1640	1763
482	1643	1759
483	1646	1755
484	1649	1751
485	1652	1747
486	1655	1743
487	1657	1739
488	1660	1735
489	1664	1731
490	1666	1727
491	1669	1724
492	1672	1719
493	1675	1715
494	1678	1712
495	1681	1708
496	1684	1704
497	1687	1700
498	1689	1696
499	1692	1692
500	1695	1689
501	1698	1685
502	1701	1681
503	1704	1677
504	1707	1673
505	1710	1669
506	1713	1665
507	1715	1661
508	1718	1658
509	1721	1654
510	1724	1650
511	1727	1646
512	1730	1642
513	1733	1638
514	1735	1634
515	1738	1631
516	1741	1627
517	1744	1623
518	1747	1619
519	1750	1615
520	1753	1611
521	1756	1608
522	1759	1604
523	1762	1600
524	1765	1597
525	1768	1593
526	1771	1589
527	1773	1585
528	1776	1582
529	1779	1578
530	1782	1574
531	1787	1572
532	1791	1569
533	1794	1565
534	1798	1563
535	1801	1559
536	1804	1555
537	1807	1552
538	1810	1548
539	1813	1544
540	1816	1540
541	1819	1537
542	1822	1533
543	1825	1530
544	1828	1526
545	1831	1522
546	1834	1518
547	1837	1515
548	1839	1511
549	1842	1507
550	1845	1504
551	1848	1500
552	1851	1496
553	1854	1492
554	1857	1489
555	1860	1485
556	1862	1481
557	1865	1478
558	1868	1474
559	1871	1470
560	1874	1466
561	1877	1463
562	1880	1459
563	1883	1456
564	1886	1452
565	1889	1448
566	1892	1445
567	1895	1441
568	1898	1437
569	1900	1433
570	1903	1430
571	1906	1426
572	1909	1422
573	1912	1419
574	1914	1415
575	1917	1411
576	1920	1408
577	1923	1404
578	1926	1400
579	1928	1396
580	1931	1393
581	1934	1389
582	1937	1386
583	1940	1382
584	1943	1378
585	1946	1375
586	1949	1371
587	1952	1367
588	1955	1364
589	1958	1360
590	1961	1357
591	1963	1353
592	1966	1349
593	1969	1346
594	1972	1342
595	1975	1338
596	1978	1335
597	1981	1332
598	1985	1328
599	1988	1325
600	1991	1321
601	1993	1318
602	1996	1314
603	2002	1312
604	2007	1310
605	2014	1309
606	2019	1307
607	2022	1303
608	2025	1300
609	2028	1296
610	2030	1292
611	2033	1289
612	2036	1285
613	2038	1281
614	2041	1278
615	2044	1274
616	2047	1270
617	2050	1267
618	2053	1263
619	2056	1260
620	2059	1256
621	2062	1253
622	2064	1249
623	2067	1246
624	2070	1242
625	2073	1238
626	2076	1235
627	2079	1231
628	2082	1228
629	2085	1224
630	2087	1220
631	2090	1217
632	2093	1213
633	2096	1210
634	2099	1206
635	2101	1202
636	2104	1199
637	2107	1195
638	2110	1192
639	2113	1188
640	2116	1185
641	2119	1181
642	2122	1178
643	2124	1174
644	2127	1171
645	2130	1167
646	2133	1163
647	2137	1161
648	2141	1158
649	2145	1155
650	2148	1151
651	2151	1148
652	2154	1144
653	2157	1141
654	2160	1137
655	2163	1134
656	2166	1130
657	2169	1127
658	2171	1123
659	2174	1120
660	2177	1116
661	2180	1113
662	2183	1109
663	2186	1106
664	2188	1102
665	2192	1099
666	2194	1095
667	2197	1092
668	2200	1088
669	2203	1085
670	2206	1081
671	2208	1078
672	2211	1074
673	2214	1071
674	2217	1067
675	2220	1064
676	2223	1060
677	2226	1057
678	2229	1053
679	2231	1050
680	2234	1046
681	2237	1043
682	2240	1039
683	2243	1036
684	2245	1032
685	2249	1029
686	2252	1026
687	2255	1022
688	2258	1019
689	2260	1015
690	2263	1012
691	2266	1008
692	2269	1005
693	2272	1002
694	2280	1000
695	2283	997
696	2286	994
697	2291	991
698	2295	988
699	2298	985
700	2301	981
701	2304	978
702	2307	974
703	2310	971
704	2317	969
705	2320	966
706	2323	962
707	2326	959
708	2328	955
709	2331	952
710	2334	949
711	2337	945
712	2341	942
713	2343	938
714	2346	935
715	2349	932
716	2352	928
717	2355	925
718	2358	921
719	2361	918
720	2364	914
721	2367	911
722	2370	908
723	2373	904
724	2376	901
725	2379	897
726	2382	894
727	2385	891
728	2387	887
729	2390	884
730	2393	880
731	2396	877
732	2399	874
733	2402	870
734	2405	867
735	2408	863
736	2411	860
737	2414	857
738	2418	854
739	2422	851
740	2426	848
741	2430	845
742	2434	842
743	2438	838
744	2441	835
745	2445	832
746	2449	829
747	2453	826
748	2457	823
749	2461	820
750	2464	817
751	2467	813
752	2470	810
753	2472	806
754	2475	803
755	2478	799
756	2481	796
757	2484	793
758	2487	789
759	2490	786
760	2493	783
761	2496	779
762	2499	776
763	2501	772
764	2504	769
765	2507	766
766	2510	762
767	2513	759
768	2516	755
769	2518	752
770	2521	748
771	2525	745
772	2527	742
773	2530	738
774	2533	735
775	2536	732
776	2539	728
777	2542	725
778	2545	722
779	2547	718
780	2550	715
781	2553	711
782	2556	708
783	2558	705
784	2561	701
785	2564	698
786	2567	694
787	2570	691
788	2573	688
789	2576	684
790	2579	681
791	2582	678
792	2584	674
793	2587	671
794	2590	668
795	2593	664
796	2596	661
797	2599	657
798	2602	654
799	2604	651
800	2607	647
801	2610	644
802	2613	641
803	2616	637
804	2618	634
805	2621	630
806	2624	627
807	2626	624
808	2629	620
809	2632	617
810	2635	614
811	2638	610
812	2641	607
813	2643	604
814	2646	600
815	2649	597
816	2652	594
817	2655	590
818	2658	587
819	2660	584
820	2663	580
821	2666	577
822	2669	574
823	2672	570
824	2675	567
825	2678	564
826	2681	560
827	2684	557
828	2687	554
829	2689	550
830	2692	547
831	2695	544
832	2698	540
833	2701	537
834	2704	534
835	2706	531
836	2709	527
837	2712	524
838	2715	521
839	2717	517
840	2721	514
841	2724	511
842	2726	507
843	2729	504
844	2732	501
845	2734	497
846	2738	494
847	2740	491
848	2743	487
849	2746	484
850	2749	481
851	2752	478
852	2755	474
853	2757	471
854	2760	468
855	2763	464
856	2766	461
857	2769	458
858	2772	455
859	2775	451
860	2778	448
861	2780	445
862	2783	441
863	2786	438
864	2789	435
865	2792	432
866	2795	428
867	2797	425
868	2800	422
869	2805	419
870	2808	416
871	2811	412
872	2814	409
873	2820	406
874	2823	403
875	2826	400
876	2829	396
877	2831	393
878	2834	390
879	2837	386
880	2840	383
881	2843	380
882	2846	377
883	2849	373
884	2852	370
885	2855	367
886	2857	364
887	2860	360
888	2863	357
889	2866	354
890	2869	351
891	2872	347
892	2875	344
893	2878	341
894	2881	338
895	2884	334
896	2887	331
897	2890	328
898	2893	325
899	2896	321
900	2899	318
901	2902	315
902	2905	312
903	2908	308
904	2910	305
905	2913	302
906	2916	299
907	2919	295
908	2922	292
909	2925	289
910	2928	286
911	2931	282
912	2934	279
913	2937	276
914	2941	273
915	2944	269
916	2947	266
917	2950	263
918	2952	260
919	2955	257
920	2958	253
921	2961	250
922	2964	247
923	2966	244
924	2969	240
925	2972	237
926	2975	234
927	2978	231
928	2981	227
929	2983	224
930	2986	221
931	2989	218
932	2992	214
933	2995	211
934	2998	208
935	3001	205
936	3004	201
937	3006	198
938	3009	195
939	3012	192
940	3015	189
941	3017	185
942	3020	182
943	3023	179
944	3026	176
945	3029	172
946	3031	169
947	3034	166
948	3037	163
949	3040	160
950	3043	156
951	3046	153
952	3049	150
953	3052	147
954	3054	143
955	3057	140
956	3060	137
957	3063	134
958	3066	131
959	3068	127
960	3071	124
961	3074	121
962	3077	118
963	3080	115
964	3083	111
965	3086	108
966	3089	105
967	3092	102
968	3094	99
969	3097	95
970	3100	92
971	3103	89
972	3106	86
973	3108	82
974	3111	79
975	3114	76
976	3117	73
977	3119	70
978	3122	66
979	3125	63
980	3128	60
981	3131	57
982	3134	54
983	3136	51
984	3139	47
985	3142	44
986	3145	41
987	3148	38
988	3150	35
989	3153	31
990	3156	28
991	3160	25
992	3163	22
993	3166	19
994	3169	15
995	3172	12
996	3174	9
997	3177	6
998	3180	3
999	3183	0
