iter	RMSE
0	17.76545308
1	17.47938583
2	17.16725515
3	16.87494917
4	16.64190752
5	16.42209971
6	16.20101896
7	15.96508798
8	15.7529909
9	15.5207916
10	15.33884806
11	15.16620807
12	15.02505932
13	14.87103556
14	14.7519127
15	14.6071889
16	14.42215183
17	14.29694343
18	14.15775025
19	14.04352492
20	13.93295536
21	13.80996531
22	13.70635632
23	13.61392737
24	13.51561442
25	13.43024345
26	13.34866201
27	13.26388505
28	13.15984664
29	13.0751469
30	12.99279504
31	12.89990768
32	12.83493132
33	12.7521819
34	12.67568486
35	12.61347921
36	12.54046315
37	12.46471154
38	12.41237541
39	12.36451424
40	12.30397251
41	12.25319244
42	12.1982796
43	12.1453184
44	12.09952405
45	12.04943563
46	12.02131586
47	11.98317458
48	11.94756996
49	11.9001007
50	11.86510768
51	11.82767013
52	11.78059907
53	11.75470985
54	11.71873006
55	11.67228346
56	11.63000655
57	11.59021109
58	11.55583278
59	11.52561441
60	11.4947346
61	11.45567145
62	11.42690087
63	11.40626847
64	11.37396449
65	11.34612917
66	11.31503463
67	11.28755146
68	11.26305726
69	11.24771082
70	11.2128429
71	11.19893001
72	11.17421824
73	11.15555839
74	11.13456153
75	11.09747345
76	11.08002808
77	11.06839392
78	11.05077945
79	11.03621057
80	11.01141472
81	10.9919784
82	10.97954881
83	10.95376544
84	10.94219266
85	10.93068652
86	10.91066707
87	10.88828228
88	10.87533781
89	10.86030846
90	10.84407813
91	10.82906216
92	10.81415449
93	10.79471951
94	10.78488006
95	10.77315314
96	10.75725795
97	10.74914374
98	10.73597214
99	10.7211008
100	10.7080596
101	10.69527563
102	10.68622164
103	10.67881656
104	10.66791404
105	10.65287659
106	10.64216967
107	10.62161201
108	10.60713849
109	10.59551661
110	10.57638445
111	10.56510312
112	10.55772553
113	10.54641617
114	10.53708034
115	10.52899785
116	10.52247385
117	10.51461225
118	10.50813484
119	10.50040562
120	10.49501309
121	10.48843059
122	10.47788262
123	10.4686262
124	10.46153267
125	10.45316022
126	10.43913389
127	10.43262043
128	10.42647544
129	10.41261782
130	10.4073684
131	10.39684762
132	10.38663166
133	10.38035541
134	10.37237076
135	10.36441242
136	10.35774447
137	10.34525569
138	10.33883216
139	10.32361911
140	10.31318603
141	10.30010373
142	10.29260483
143	10.28673976
144	10.28080698
145	10.27336921
146	10.26653564
147	10.25994877
148	10.24484302
149	10.23286748
150	10.22626011
151	10.21614895
152	10.21157628
153	10.19679113
154	10.18081756
155	10.17143814
156	10.16326805
157	10.15006957
158	10.14198099
159	10.13638484
160	10.12956449
161	10.12330045
162	10.11936305
163	10.11358174
164	10.10485359
165	10.0986728
166	10.09466224
167	10.08566872
168	10.07152695
169	10.0620594
170	10.05181829
171	10.04390084
172	10.03607243
173	10.02917125
174	10.02227526
175	10.01279147
176	9.998834896
177	9.992384127
178	9.985409608
179	9.98067976
180	9.976044702
181	9.967334146
182	9.957594234
183	9.951103322
184	9.940992716
185	9.933587226
186	9.925983105
187	9.920120457
188	9.908900473
189	9.902306831
190	9.893447594
191	9.884377894
192	9.879127607
193	9.865730025
194	9.857752012
195	9.851654043
196	9.845542298
197	9.839628653
198	9.833143617
199	9.827528086
200	9.81988512
201	9.812879088
202	9.806397488
203	9.798731355
204	9.790849978
205	9.785568749
206	9.778828041
207	9.772524471
208	9.767297004
209	9.76200667
210	9.756903595
211	9.750695381
212	9.745651023
213	9.739757758
214	9.734131868
215	9.722358489
216	9.714417049
217	9.709156349
218	9.70333826
219	9.698585405
220	9.693795368
221	9.688506408
222	9.684059503
223	9.678194822
224	9.673704752
225	9.664161777
226	9.651732685
227	9.645885625
228	9.637574671
229	9.632756303
230	9.625414084
231	9.622011113
232	9.61610141
